ID,回答日時,部署入力,回答者,回答本文,対応状況,添付,優先度,備考,内部コード
R7-2-027,2026/08/29 12:02,総務,担当027,対象外です,該当なし,無,1,対象外です。,C0027
R7-2-028,2026/08/29 12:09,共通事務,担当028,該当なし,該当なし,無,2,該当事項はありません。,C0028
R7-2-029,2026/08/29 12:16,図書館,担当029,対象外です,該当なし,無,2,対象外です。,C0029
R7-2-030,2026/08/29 12:23,施設管理課,担当030,対応予定です,対応予定,無,3,今月中に対応予定です。,C0030
R7-2-031,2026/08/29 12:30,施設管理課,担当031,完了しました,対応済,無,2,完了しました。,C0031
R7-2-032,2026/08/29 12:37,図書館,担当032,対応済,対応済,無,1,対応済みです。,C0032
R7-2-033,2026/08/29 12:44,企画係,担当033,確認中です,確認中,無,4,相手方確認待ちです。,C0033
R7-2-034,2026/08/29 12:51,図書館,担当034,未対応です,未対応,無,2,今後対応します。,C0034
R7-2-035,2026/08/29 12:58,企画課,担当035,完了しました,対応済,無,2,完了しました。,C0035
R7-2-036,2026/08/29 13:05,総務,担当036,完了しました,対応済,無,2,完了しました。,C0036
R7-2-037,2026/08/29 13:12,研究推進,担当037,未対応です,未対応,無,2,今後対応します。,C0037
R7-2-038,2026/08/29 13:19,総務課,担当038,未対応です,未対応,無,2,,C0038
R7-2-039,2026/08/29 13:26,会計課,担当039,確認中です,確認中,無,2,確認中です。,C0039
R7-2-040,2026/08/29 13:33,研究推進課,担当040,確認中です,確認中,無,2,確認中です。,C0040
R7-2-041,2026/08/29 13:40,図書館情報課,担当041,対応済,対応済,無,2,対応済みです。,C0041
R7-2-042,2026/08/29 13:47,国際課,担当042,対応済,対応済,無,1,対応済みです。,C0042
R7-2-043,2026/08/29 13:54,国際課,担当043,完了しました,対応済,無,1,完了しました。,C0043
R7-2-044,2026/08/29 14:01,図書館情報課,担当044,対応予定です,対応予定,無,2,今月中に対応予定です。,C0044
R7-2-045,2026/08/29 14:08,総務課,担当045,該当なし,該当なし,無,1,該当事項はありません。,C0045
R7-2-046,2026/08/29 14:15,図書館,担当046,完了しました,対応済,無,1,完了しました。,C0046
R7-2-047,2026/08/29 14:22,会計課,担当047,対応予定です,対応予定,無,2,今月中に対応予定です。,C0047
R7-2-048,2026/08/29 14:29,国際課,担当048,未対応です,未対応,無,2,今後対応します。,C0048
R7-2-049,2026/08/29 14:36,財務課,担当049,対応済,対応済,後送,2,添付資料を後送します。,C0049
R7-2-050,2026/08/29 14:43,企画課,担当050,完了しました,対応済,無,1,完了しました。,C0050
R7-2-051,2026/08/29 14:50,図書館情報課,担当051,確認中です,確認中,無,2,確認中です。,C0051
R7-2-052,2026/08/29 14:57,研究推進課,担当052,確認中です,確認中,無,3,確認中です。,C0052
R7-2-053,2026/08/29 15:04,研究推進,担当053,対応済,対応済,無,1,対応済みです。,C0053
R7-2-054,2026/08/29 15:11,情報社会基盤研究センター事務室,担当054,該当なし,該当なし,無,1,該当事項はありません。,C0054
R7-2-055,2026/08/29 15:18,企画係,担当055,該当なし,該当なし,無,1,該当事項はありません。,C0055
R7-2-056,2026/08/29 15:25,図書館情報課,担当056,対応予定です,対応予定,無,5,優先対応予定です。,C0056
R7-2-057,2026/08/29 15:32,企画係,担当057,対応予定です,対応予定,無,2,今月中に対応予定です。,C0057
R7-2-058,2026/08/29 15:39,総務課,担当058,対象外です,該当なし,無,1,対象外です。,C0058
R7-2-059,2026/08/29 15:46,企画課,担当059,該当なし,該当なし,無,1,該当事項はありません。,C0059
R7-2-060,2026/08/29 15:53,共通事務管理課,担当060,対象外です,該当なし,無,2,対象外です。,C0060
